2025-01-16-10:36:22 INFO  Browser instance launched
2025-01-16-10:36:24 INFO  Login page deployed
2025-01-16-10:36:32 INFO  HomePage popups have been cleared
2025-01-16-10:36:32 INFO  Join Button Clicked
2025-01-16-10:36:32 INFO  First name has been entered
2025-01-16-10:36:32 INFO  Last name has been entered
2025-01-16-10:36:33 INFO  Email has been entered
2025-01-16-10:36:33 INFO  Email has been confirmed
2025-01-16-10:36:33 INFO  Password has been entered
2025-01-16-10:36:33 INFO  Phone number has been entered
2025-01-16-10:36:33 INFO  ZipCode has been entered
2025-01-16-10:36:34 INFO  Birthday has been added
2025-01-16-10:36:34 INFO  User address has been added
2025-01-16-10:36:34 INFO  User city has been entered
2025-01-16-10:36:35 INFO  User state has been selected
2025-01-16-10:36:35 INFO  Join button clicked
